Metric,Value
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19962
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00172198
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00138407
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.00033865
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00138407
design_powergrid__voltage__worst,0.00138407
design_powergrid__voltage__worst__net:VPWR,1.19828
design_powergrid__drop__worst,0.00172198
design_powergrid__drop__worst__net:VPWR,0.00172198
design_powergrid__voltage__worst__net:VGND,0.00138407
design_powergrid__drop__worst__net:VGND,0.00138407
ir__voltage__worst,1.2
ir__drop__avg,0.000382
ir__drop__worst,0.00172
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
