Metric,Value
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19802
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19968
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00198118
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00116458
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000289636
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00116458
design_powergrid__voltage__worst,0.00116458
design_powergrid__voltage__worst__net:VPWR,1.19802
design_powergrid__drop__worst,0.00198118
design_powergrid__drop__worst__net:VPWR,0.00198118
design_powergrid__voltage__worst__net:VGND,0.00116458
design_powergrid__drop__worst__net:VGND,0.00116458
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0003190000000000000018700319071029980477760545909404754638671875
ir__drop__worst,0.001979999999999999989175325509904723730869591236114501953125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
